432;pamięć;die;Erinnerung;Erinnerungen;0;
433;przeziębienie;die;Erkältung;Erkältungen;0;
434;przekonanie;die;Erkenntnis;;0;
435;wyjasnienie;die;Erklärung;Erklärungen;0;
436;pozwolenie;die;Erlaubnis;Erlaubnisse;0;
437;ulga/udogodnienie;die;Erleichterung;;0;
438;zniżka;die;Ermäßigung;Ermäßigungen;0;
439;odżywianie;die;Ernährung;brak;0;
440;otwarcie;die;Eröffnung;;0;
441;budowla zastępcza;der;Ersatzbau;brak;0;
442;dorosły;der;Erwachsene;Erwachsenen;0;
443;oczekiwanie;die;Erwartung;;0;
444;oczekiwanie;die;Erwartung;;0;
445;wychowawca;der;Erzieher;Erzieher;0;
446;wychowawczyni;die;Erziehierin;Erziehierinnen;0;
447;wychowanie;die;Erziehung;brak;0;
448;osioł;der;Esel;Esel;0;
449;jedzenie;das;Essen;brak;0;
450;ocet;der;Essig;brak;0;
451;piętro;die;Etage;Etagen;0;
452;euro;der;Euro;Euros;0;
453;europejczyk;der;Europäer;;0;
454;egzemplarz;das;Exemplar;Exemplare;0;
455;ekspert;der;Experte;Experten;0;
456;fabryka;die;Fabrik;Fabriken;0;
457;przedmiot/dziedzina;das;Fach;Fächer;0;
458;specjalność;das;Fachgebiet;;0;
459;fachowiec;der;Fachmann;Fachmänner;0;
460;czasopismo specjalistyczne;die;Fachzeitschrift;;0;
461;zdolność;die;Fähigkeit;;0;
462;jezdnia;die;Fahrbahn;Fahrbahnen;0;
463;kierowca;der;Fahrer;Fahrer;0;
464;pasażer;der;Fahrgast;Fahrgäste;0;
465;bilet komunikacyjny;die;Fahrkarte;Fahrkarten;0;
466;rozkład;der;Fahrplan;Fahrpläne;0;
467;rower;das;Fahrrad;Fahrräder;0;
468;prom;das;Fährschiff;;0;
469;jazda;die;Fahrt;Fahrten;0;
470;pojazd;das;Fahrzeug;Fahrzeuge;0;
471;współczynnik;der;Faktor;;0;
472;rodzina;die;Familie;Familien;0;
473;stan cywilny;der;Familienstand;brak;0;
474;fan;der;Fan;Fans;0;
475;wyobraźnia;die;Fantasie;Fantasien;0;
476;kolor;die;Farbe;Farben;0;
477;luty;der;Februar;Februare;0;
478;wróżka;die;Fee;;0;
479;błąd;der;Fehler;Fehler;0;
480;święto;die;Feier;Feiern;0;
481;koniec pracy;das;Feierabend;;0;
482;święto;der;Feiertag;Feiertage;0;
483;pole/przęsło;das;Feld;Felder;0;
484;sierść;das;Fell;;0;
485;okno;das;Fenster;Fenster;1;
486;parapet;der;Fensterbrett;Fensterbretter;0;
487;dom wczasowy;das;Ferienhaus;Ferienhäuser;0;
488;kwatera wakacyjna;das;Ferienquartier;;0;
489;dzień wakacyjny;der;Ferientag;;0;
490;telewizor;der;Fernseher;Fernseher;0;
491;święto;das;Fest;Feste;0;
492;dysktwardy;die;Festplatte;;0;
493;strażak;die;Feuerwehrmann;;0;
494;fajwerki;das;Feuerwerk;Feuerwerke;0;
495;zapalniczka;das;Feuerzeug;Feuerzeuge;0;
496;gorączka;das;Fieber;Fieber;0;
497;Film;der;Film;Filme;0;
498;finał;das;Finale;Finale;0;
499;finanse;die;Finanzen;;0;
500;palec;der;Finger;Finger;0;
501;firma;die;Firma;Firmen;0;
502;założyciel firmy;der;Firmengründer;;0;
503;ryba;der;Fisch;Fische;1;
504;paluszki rybne;das;Fischstäbchen;;0;
505;sprawność;die;Fitness;brak;0;
506;siłownia;das;Fitnessstudio;Fitnessstudios;0;
507;tarta;der;Flammkuchen;Flammkuchen;0;
508;butelka;die;Flasche;Flaschen;0;
509;mięso;das;Fleisch;brak;0;
510;pilność;der;Fleiß;brak;0;
511;muchomor;der;Fligenpilz;;0;
512;pchli targ;der;Flohmarkt;Flohmärkte;0;
513;tratwa;das;Floß;;0;
514;wycieczka tratwą;die;Floßfahrt;;0;
515;lot;der;Flug;Flüge;0;
516;lotnisko;der;Flughafen;Flughäfen;0;
517;samolot;das;Flugzeug;Flugzeuge;0;
518;korytarz;der;Flur;Flure;0;
519;rzeka;der;Fluss;Flüsse;0;
520;suszarka do włosów;der;Föhn;Föhne;0;
521;wspomaganie;die;Förderung;Förderungen;0;
522;formularz;der;Formular;Formulare;0;
523;doskonalenie zawodowe;die;Fortbildung;Fortbildungen;0;
524;postęp;der;Fortschritt;Fortschritte;0;
525;forum;das;Forum;Foren;0;
526;zdjęcie;das;Foto;Fotos;0;
527;fotografia;die;Fotografie;Fotografien;0;
528;pytanie;die;Frage;Fragen;0;
529;ankieta;der;Fragebogen;Fragebögen;0;
530;kobieta;die;Frau;Frauen;0;
531;niegrzeczny;der;Freche;;0;
532;piątek;der;Freitag;Freitagen;0;
533;czas wolny;die;Freizeit;brak;0;
534;nieznajomy;der;Fremde;;0;
535;język obcy;die;Fremdsprache;Fremdsprachen;0;
536;radość;die;Freude;Freuden;0;
537;przyjaciel;der;Freund;Freunde;0;
538;przyjaciółka;die;Freundin;Freundinnen;0;
539;fryzjer;der;Friseur;Friseure;0;
540;fryzjerka;die;Friseurin;Friseurinnen;0;
541;fryzura;die;Frisur;Frisuren;0;
542;żaba;der;Frosch;Frösche;1;
543;wiosna;das;Frühjahr;Frühjahre;0;
544;wiosna;der;Frühling;Frühlinge;0;
545;śniadanie;das;Frühstück;Frühstücke;0;
546;prawo jazdy;der;Führerschein;Führerscheine;0;
547;kadra kierownicza;die;Führungskraft;;0;
548;biuro rzeczy znalezionych;das;Fundbüro;Fundbüros;0;
549;piąty;der;Fünfte;;0;
550;jedna piąta;das;Fünftel;;0;
551;stopa;der;Fuß;Füße;0;
552;piłka nożna;der;Fußball;brak;0;
553;pieszy;der;Fußgänger;Fußgänger;0;
554;strefa ruchu pieszego;die;Fußgängerzone;Fußgängerzonen;0;
555;karma;das;Futter;;0;
556;miska na karmę;der;Futternapf;;0;
557;czas przyszły;das;Futur;;0;
558;widelec;die;Gabel;Gabeln;0;
559;garaż;die;Garage;Garagen;0;
560;garderoba;die;Garderobe;bez;0;
561;ogród;der;Garten;Gärten;0;
562;impreza w ogrodzie;das;Gartenfest;;0;
563;gaz;das;Gas;Gase;0;
564;gość;der;Gast;Gäste;0;
565;gospodarz;das;Gastgeber;;0;
566;gospodarz;der;Gastgeber;;0;
567;prezent dla gości;das;Gastgeschenk;;0;
568;prelegent;der;Gastredner;;0;
569;małżonek;der;Gatte;;0;
570;budynek;das;Gebäude;Gebäude;0;
571;szczekanie;das;Gebell;;0;
572;dziedzina/obszar;das;Gebiet;Gebiete;0;
573;instrukcja obsługi;die;Gebrauchsanleitung;Gebrauchsanleitungen;0;
574;instrukcja obsługi;die;Gebrauchsanweisung;Gebrauchsanweisungen;0;
575;opłata;die;Gebühr;Gebühren;0;
576;data urodzenia;das;Geburtsdatum;Geburtsdaten;0;
577;miejsce urodzenia;der;Geburtsort;Geburtsorte;0;
578;urodziny;der;Geburtstag;Geburtstage;0;
579;pomysł;der;Gedanke;Gedanken;0;
580;wiersz;das;Gedicht;Gedichte;0;
581;cierpliwość;die;Geduld;bez;0;
582;niebezpieczeństwo;die;Gefahr;Gefahren;0;
583;zamrażalnik;das;Gefrierfach;;0;
584;uczucie;das;Gefühl;Gefühle;0;
585;przedmiot;der;Gegenstand;Gegenstände;0;
586;przeciwieństwo;das;Gegenteil;Gegenteile;0;
587;wróg/przeciwnik;die;Gegner;;0;
588;treść;der;Gehalt;Gehalte;0;
589;wybieg;das;Gehege;;0;
590;szyfr;die;Geheimschrift;;0;
591;mózg;das;Gehirn;Gehirne;0;
592;chodnik;der;Gehweg;Gehwege;0;
593;pieniądze;das;Geld;Gelder;0;
594;bankomat;der;Geldautomat;Geldautomaten;0;
595;portfel;der;Geldbeutel;Geldbeutel;0;
596;portponetka;die;Geldbörse;Geldbörsen;0;
597;okazja;die;Gelegenheit;;0;
598;okazja;die;Gelegenheit;;0;
599;wspólnota;die;Gemeinschaft;Gemainschaften;0;
600;warzywo;das;Gemüse;Gemüse;0;
601;spółdzielnia;die;Genossenschaft;;0;
602;geografia;die;Geografie;brak;0;
603;bagaż;das;Gepäck;brak;0;
604;sprzęt;das;Gerät;Geräte;0;
605;sąd;das;Gericht;Gerichte;0;
